Tronc commun,,,Population,,,,,,,,,Mobilité,,,,,,,,,,Souhait,Evaluation de la démarche,,,
Pays de lumbres c'est quoi ?,Si autre Pays de Lumbres,Comment décrivez-vous ce territoire ?,Qu'est-ce qui attire les nouveaux habitants ?,Pourquoi ?,Quelle raison villes éloignées ?,Etes-vous satisfait de l'offre santé ?,Commentaire,Commentaire,Commentaire,Commentaire,Commentaire,"Voiture, qu'en pensez vous ?",Transports en commun,Commentaire,Vélo,Commentaire,Marche à pied,Commentaire,Covoiturage,Commentaire,Pourquoi ?,"Si vous aviez une baguette magique, qu'est-ce que vous changeriez sur le territoire ?",,Si oui comment ?,Si autre moyen,Que pensez-vous de cette démarche de concertation ?
autre,,La tranquilité,"La tranquilité que l'on a pas en ville, la verdure ",,,beaucoup,Docteur et pharmacie sur place,L'offre n'est pas assez importante sur le territoire,"Il faut aller sur St Omer (cinéma, piscine, salle de spectacles)",,,"Normal, obligé",J'accepterais si,plus de lignes,J'aimerais mais,Il manque des pistes cyclables (dangereux avec les poids lourds),Je le fais déjà pour,La balade,Je le fais déjà pour,Le travail,Pour la tranquilité. Pousser des propriétaires garantir la tranquilité,Sauvegarder la nature,,,,Très bien 
autre,Un carton,"Territoire développé, agréable","Le calme, parce que c'est développé, proche des grandes agglomérations",Le prix des terrains (constructions),Le prix des terrains,oui,,Il manque quand même des stades/aménagements,,,,"Logique, obligatoire",Non pas du tout,Indépendance,Non pas du tout,,Non pas du tout,,J'accepterais si,Si des gens sont partants,Si c'est des organismes bien gérés,"Quelques petits aménagements pour le sport, les écoles",,,,Pas mal si pris en compte
Une communauté de communes,,Campagne,L'envie d'être à la campagne,C'est plus la ville,"St omer trop grand, ici il y a des paysage à voir",Pas vraiment,Il faut aller dans les grandes villes ,Pas mal de choses pour les VTT,,,,,Non pas du tout,,Je le fais déjà pour,Le sport,Je le fais déjà pour,Les balades,Je le fais déjà pour,Les sorties entre amis. ais pas possible pour le travail,Il y en a déjà (surtout à Lumbres),,,,,Vous espérez que ça sera utile
un territoire,,"Vallée de l'Aa, agréable pour pratiquer le sport en plain air","L'envie de vivre à la campagne avec la facilité d'aller en ville (Boulogne, Calais, St Omer)",Pas assez de travail,Les terrains pour bâtir sont plus abordables,oui,"Nielles pharmacie, kiné, médecons, ostéo","Il manque des choses, piscine désuète, plus d'équipement, pour la piscine et enfants",Manque d'équipements,,,Les gens ont l'habitute de prendre la voiture,Non pas du tout,,Je le fais déjà pour,le sport,Je le fais déjà pour,les petits achats,Non pas du tout,pas adapté à vos horaires de travail,Il y en a déjà,Plus d'embauche dans la communauté de commune,,,,C'est intéressant
Une communauté de communes,,"Sympathiques, verdoyant, assez varié en thermes de paysages (frontiers de desvres), pas trop dynamiques","La quiétude, la vie de village, la proximité St Omer Boulogne, le calme","Lumbres --> manque de dynamisme, plus d'attrait pour les communes environnantes. Cité vieillotte qui n'a pas su se renouveller","Ca dépend de la politique d'urbanisme des communes. Certaines communes ne veulent pas s'étendre , donc c'est attirant. Il y a aussi la renommée",oui,Il faudrait quand même plus de médecons surtout pour les personnes âgées. ,"Ca dépend des communes, des assos créées par les habitants. Plus de choses sur Lumbres",Asso socio-culturelle qui fait pas mal de choses (nielles),"Pas grand chose, ça pourrait être mieux pour l'alimentation (commerces de proximité).",,"Normal, les couples ont besoin de 2 voitures pour le travail",J'accepterais si,Services de mini bus 1 x par semaine pour des courses et pour les personnes âgées,Non pas du tout,,Non pas du tout,,J'aimerais mais,Il n'y a pas de demandes au niveau du village,Mais qui dit extension dit nouveaux besoins scolaires etc donc il faut que ça suive,"Niveau services, par exemple pour le ramassage des déchets verts l n'y a rien. Difficile d'aller en déchetterie. 2 passages/mois serait bien",,,,C'est utile
Je ne sais pas,,"Zone tranquille, plutôt naturelle, agréable pour se promener",Le fait que ce soit calme mais proche de St Omer Boulogne et Calais,"Lumbres ce n'est pplus trop calme, il n'y a plus de charme, que des grandes surfaces",,Pas vraiment,"Pour l'orthophoniste, il faut attendre des mois, ça pose des problèmes aux enfants, difficultés scolaires, à Boulogne on se veut pas de nous parce qu'on doit dépendre de St Omer","Ca va, il y a du foot, danse, vélo cross, chemins de rando. Très agréable pour les longues balades",Bibliothèques nombreuses,"Pas de petits commerces (fromagers...). Ici la poste a été reprise, c'est bien, on a besoin de ne pas dépendre des grandes villes pour peser un courrier",,Obligatoire,J'accepterais si,C'était plus pratique même pour les enfants,Non pas du tout,Ne peut plus,Je le fais déjà pour,Balades et courses,J'aimerais mais,Je n'en ai pas l'utilité pour le boulot,"Il y a sûrement un quota pour le nombre d'habitants mais il ne faut pas que attire n'importe qui. A calais c'est devenu la zone, les choses données sont dégradées, ce n'est pas possible","Centre de santé avec ortho, dentiste, ophtalmo, médecins généralistes disponibles",,,,Bien de réfléchir et discuter de notre territoire pour l'améliorer 
Une communauté de communes,,"Territoire vallonné, bocage, plusieurs petits villages qui se différencie d'une métropole","pas la création d'entreprise ! La camapgne, l'amélioration des infrastructures (la rocade), bien deservi au niveau routier. Proches de 3 grandes villes","Il n'y a plus de commerces de proximité, concurrence des grandes surfaces",Peut être pour s'approcher de Calais ou Boulogne,Pas vraiment,"Pas assez de médecin généraliste, ne se déplacent pas. Bureaux dipo mais les médecins ne viennent pas. ","Plusieurs activités (foot, BMX, rando)",,Plus de commerces de proximité qui ont été remplacés par des grandes surfaces. Rien en bricolage,"Micro Entrepreneurs... Bien que la poste survive encore dans le village, utile et pratique","Il n'y a presque pas de transports en commun, que scolaire. Il faut aller à, Lumbres pour avoir un bus",J'accepterais si,Il y avait possibilité,Non pas du tout,,Je le fais déjà pour,"balade et petite course (pain, la poste...)",Non pas du tout,ca n'irait pas avec le métier (police),Mais une population respectueuse. Il y en a déjà ici,"Développer un réseau de transports en commun. 1 centre de santé (ophtalmo, ortho...)",,,,"Pas mal de voir ce qui peut être amélioré, c'est bien que la communauté de commune ait pris des initiatives. "
autre,Lumbres et les environs,Grand,"Le calme, la serrenite, la campagne",,Villes différentes proches de la campagne,beaucoup,,"Ce qu'il faut pour pratiquer du sport (gym, foot)","Médiathèque ! très très bonne idée. Les enfants peuvent y aller quand ils veulent se retrouver, en plus très bien conseillés et par des bénévoles",tout est relativement éloigné,pas beaucoup d'offres,"Normal, campagne. Mais bus desservent bien pour les jeunes. Boulogne St Omer",Non pas du tout,Ne se pose pas la question puisque voiture,Je le fais déjà pour,Les balades avec les enfants,Je le fais déjà pour,,J'aimerais mais,Je n'ai pas d'opportunité ou de demandes,Il en manque un peu partout alors que les gens cherchent,Les structures qui ne servent à rien. Fermes à l'abandon... qui pourraient être aménagées ou transformés (nature),,,,"Sympathique, ça informe les habitants"
autre,Un beau vallon,Un beau vallon,,La cimenterie pollue,"Saint Omer devient peu accueillant, ça a changé en 15 ans",Pas du tout,Médecin à St Omer,"Rien à Escoeuilles, pas praticable",Médiathèque + réseau plume,,Trop d'attente pour le coiffeur,Obligatoire,Non pas du tout,Migrants dans les bus: maladies !,Non pas du tout,"pas possibles, ce n'est pas adapté",Non pas du tout,pas adapté,Non pas du tout,,Par rapport à la population que ç peut amener,,,,,C'est bien
Une communauté de communes,,"Territoire rural, dynamique, beaucoup d'asson politique communautaire dynamique. ","Territoire central par rapport à Calais, Boulogne, St Omer. Qualité de vie plus agréable qu'en ville, réseau routier bien développé. ","Peut être parce qu'il y a plus de terrains à bâtir, dispo sur les autres communes. Lumbres est aussi une grande ville. ","Peut être parce que c'est plus près des côtes, également parce que c'est près de Licque et Desvres",Pas vraiment,Médecins partent mais ne sont pas remplacés. Pour les médecins spécialistes il faut sortir du territoire du pays de Lumbres,,"Théâtre, cinéma, musique dans les grandes villes. ",Beaucoup de petits commerces,,"Il y a peu de transports en commun, ce n'est pas surprenant. La majorité des personnes travaillent, et la voiture est obligatoire. La ligne de transport en commun dessert surtout les grandes villes. ",J'accepterais si,S'il étaient développés. Une ligne le soir et le matin ce n'est pas suffisant. ,Je le fais déjà pour,"Dans le village, petites courses",Je le fais déjà pour,Dans le village,J'accepterais si,J'avais des horaires de covoiturage,"Certains bâtiments s'intègrent très bien dans le village, ça fait vivre le village (jeune couple avec enfants). Sur Escoeuilles c'est déjà le cas. ","Il faut vraiment travailler sur la mobilité, surtout pour les plus jeunes qui n'ont pas le permis. Faire quelque chose pour la culture",,autre,Courrier reçu en tant qu'asso pour la réunion de lancement,C'est bien de construire avec les habitants
Une communauté de communes,,"Bien aménagé, de nouvelles constructions (médiathèque)","Les villages et les aménagements (médiathèque, relais assistante maternelle",Les gens préfèrent les petits villages,Les gens préfèrent les petits villages,Pas du tout,"Pas assez de médecins, difficile d'avoir un RDV",,Depuis la médiathèque,Boulangerie dans le village et commerces pratiques en voiture,,"Ce n'est pas évident sans voiture, il faut demander à la famille",J'accepterais si,Il y en avait plus,Je le fais déjà pour,Les balades,Je le fais déjà pour,Balades ou boulangerie,J'aimerais mais,Je n'en ai pas l'utilité,C'est bien ,"Changer les relations entre plus jeunes et plus âgés. Pas assez de lien, d'entraide, de services avec les personnes âgées. ",,,,"Bien, les habitants sont importants"
Une communauté de communes,,"Calme, vert","Le calme de la campagne mais la proximité des services (école, boulangerie, médiathèque)","Lumbres c'est déjà moins la campagne, ça a moins moins de charme même s'il y a plus d'équipements.",Les prix et la tranquilité. Le côté ferme/paysan,Pas vraiment,"Beaucoup de monde va chez le médecin vers St Omer ou Boulogne. Pour le reste, dentiste, ophtalmo etc, c'est pareil. Peu d'offres, beaucoup d'attente",Il y a des activités mais pas forcément de lieux adaptés ou qui mériteraient d'être rénovés,,"Quelques petits commerces locaux ici (boulangerie, brasserie) mais sur ce territoire de campagne c'est dommage de ne pas avoir plus de petits commerçants/artisants.",,Obligatoire,Non pas du tout,"Non, j'ai une voiture",Je le fais déjà pour,Petits achats,Je le fais déjà pour,"Boulangerie, brasserie",J'aimerais mais,Pas l'occasion,"Si les gens peuvent en bénéficier, il doit y en avoir. La campagne, c'est bon pour le moral","Plus de petits commerces, pouvoir accéder à des lieux sportifs et culturels de qualité (en bus)",,Médiathèque,,Très bien
Une communauté de communes,,Campagne,Les infrastructures (piscine...),"LE côté ville, peut être la pollution avec la cimenterie. Les gens recherchent plus le calme, la campagne","Le calme, terrains moins chers",oui,"Médecin pas loin, pharmacie aussi","Club de foot, majorettes, gym (Bonningues les A)",Rien,Le plus proche c'est le leclerc de Lumbres. Pas de petits commerces de proximité,,"On est obligé, pas de transports en commun",J'accepterais si,Les bus desservaient plus d'endroits. Les jeunes qui n'ont pas le permis ne peuvent rien faire,J'aimerais mais,Les commerces sont trop éloignés,Non pas du tout,pas possible,Je le fais déjà pour,Le travail,Il y en a déjà à Bonningue,,,,,C'est bien si ça peut aider à trouver une solution pour tout le monde
Une communauté de communes,,"Campagne, calme",Le cadre de vie,La pollution de la cimenterie,"Parce que c'est la campagne, pas le bruit des villes, etc.",Pas vraiment,"Ophtalmo, spécialistes etc, on est obligé d'aller dans les grandes villes et d'attendre 1 an pour un RDV",,,"Ca se vide dans le centre, de moins en moins de commerces. Le centre commercial pour aussi être plus développé",,"Pas de bus, pour les personnes âgées c'est difficile d'aller de village en village",J'accepterais si,C'était adapté aux horaires (ex : toutes les demie heures),J'aimerais mais,Prendrait trop de temps,Je le fais déjà pour,Les choses de proximité dans le village,Non pas du tout,Déjà fait mais c'est pas l'idéal,"Permet d'agrandir les communes, la mixité sociale",moins d'impôts,,,,Permet de faire avancer les choses
Une communauté de communes,,Rural,"Etonnant, à Bouvelinghem, les maisons sont à vendre, les gens partent","Parce que la population est vieillissante, les jeunes partent dans les grandes villes (Lille, Paris) pour trouver du boulot","Les gens aiment le calme, la nature. Ils n'aiment pas forcément les nouvelles constructions (salles des fêtes) qui sont bruyantes",Pas vraiment,"Pas beaucoup de médecins, ils partent et ne sont pas remplacés","Stade de foot, salles de tennis et basket. Bien pour un petit village","Médiathèque et bibliothèques dans les petits villages, satisfaisant (à Lumbres)","Plus assez de petits commerçants, c'était plus vivant avant (place de Lumbres par exemple). Des cafés ferment",Mais on ne sait pas si ce sera toujours le cas dans 5 ans vue les fermetures,Normal à la campagne on ne peut pas vivre sans voiture,Non pas du tout,Ce ne serait pas rentable de mettre un bus dans chaque village,Non pas du tout,Pas cycliste,Je le fais déjà pour,les balades,Non pas du tout,,Mais il faudrait que ça reste calme et qu'il n'y en ait pas partout,"En 2 ans, 2 restos ont fermés sur Lumbres, c'est dommage. Il faudrait plus de restos.",,,,C'est bien 
autre,Un canton,"Coin sympathique, paysage développé, plutôt jolie, des coins superbes","La tranquilité, petites villes, petits villages","Beaucoup de monde part travailler à Boulogne, Saint Omer ...","Les gens préfèrent la tranquilité, la campagne sans être loin de tout",oui,,"Piscine, piste de BMX, etc, chemins de rando en cours d'aménagement",,"Ca manque un peu, il manque un magasin d'outillage",,"Il faut obligatoirement une voiture, il n'y a pas de bus entre les villages",Non pas du tout,Parce que vous avez la voiture,J'accepterais si,Il y avait des pistes cyclables,Je le fais déjà pour,La rando,Non pas du tout,,"A Acquin il n'y en a pas, ça pourrait faire venir des habitants",,,,,C'est bien
autre,,"Campange, chemins, mérivière de naissance","Le triangle St Omer, Calais, Boulogne. Au milieu : facile d'accès",Pas de travail,Prix des terrains,oui,,"Mais peut mieux faire (des city pour les gamins), les occuper","Des bibliothèques un peu partout, quelques spectacles !",,,L'accessibilité en voiture est bonne mais sans véhicule il est très compliqué de se déplacer,J'accepterais si,S'il y avait les moyens en conséquence,Je le fais déjà pour,Le boulot,Je le fais déjà pour,Le boulot,Non pas du tout,De mauvaises expériences,Pour le voisinage,Vous aimeriez que tout le monde soit bien sur le territoire,,,,"C'est bien, c'est en faisant des trucs qu'on avance"
un territoire,,"Rural, beau paysage",La vie de campagne,,"La vie rurale, tranquilité",oui,,"Piste de BMX et salle de sport, nouvelle piscine, plusieurs terrains de foot",,Leclerc à côté,,"On est obligé d'être mobile en auto, pas de travail dans les villages où l'on vit. ",Non pas du tout,Je n'aime pas ça,Non pas du tout,,Je le fais déjà pour,Les petites courses en ville (boulangerie),Non pas du tout,,Il faut aider,Plus de bus pour l'autonomie des enfants,,,,C'est bien si on prend en compte ce qu'on dit
un regroupement de 36 communes,,Regroupement de communes à des fins économiques,"La proximité avec l'autoroute, camapgne avec malgré tout le confort des commerces","Les prix de l'immobilier sur Lumbres sont très chers, même s'il y a des commerces, ce n'est pas une ville très agréable",Les prix de l'immobilier,oui,,"Pas assez de choses, piscine vieillote, choix limité dans les activités",Il n'y a jamais de gros événements culturels sur Lumbres,,,"Il faut une voiture, pas de bus pour le collège",J'accepterais si,Les horaires étaient suffisants pour s'organiser,Je le fais déjà pour,Les petits commerces,Je le fais déjà pour,"Les balades, beaucoup",J'aimerais mais,Pas d'opportunités,Car vous vivez en face de LLA et ce n'est pas ce que l'on veut quand on vient à la campagne (parfois bruyant),Plus d'événements culturels et un complexe sportif plus développé,,,,C'est très bien 
Une communauté de communes,Un regroupement de 36 communes,Petites communes. Campagne,La campagne,"C'est devenun mort, Lumbres. Il n'y a plus grand chose",Ne sait pas,oui,,,,,,"Si on n'a pas de véhicule ici c'est pas possible. Tout le monde a sa voiture. On est au village, et on continue d'avoir 2 voitures pour aller travailler et pour les activités",Non pas du tout,Il n'y aurait pas assez de monde pour le prendre,Je le fais déjà pour,Mon plaisir,Je le fais déjà pour,Mon plaisr,Je le fais déjà pour,Aller marcher entre copains,Il y en a déjà beaucoup,"L'entretien, ça doit être propre et accueillant, on est une vallée --> pour que le monde veuille venir nous visiter",,,,C'est bien de prendre l'avis des gens mais faut voir comment ça se passe
Une communauté de communes,Un regroupement de 36 communes,"C'est rural, c'est vallonné dans le secteur. Beaux paysages",C'est bien positionné du fait de l'A26 situé entre Boulogne StOmer et Calais,Lumbres ça devient peut être une trop grosse ville et les gens veulent peut être se rapprocher du cadre tranquilité de la campagne,Peut être les terrains moins chers,Pas vraiment,"4/5 médecins à Liques, Tournem. M2decins qui vont partir à la retraite",Foot : plusieurs clubs. Autres sports : ne sait pas. Ma fille pour aller à la danse elle est obligé d'aller sur Lumbres,"Escoeuilles, Alquines : médiathèques",Ici c'est Liques carrefour Market. Et après il faut aller sur Lumbres,"A Liques, il y a un peu de tout","L'obligation d'avoir une voiture pour aller au travail. Il faut aller à Calais, Boulogne, ou Lumbres",J'aimerais mais,pas de chemin de fer,J'aimerais mais,je pense que c'est peut être trop grand et trop éloigné,Je le fais déjà pour,me balader,Non pas du tout,,Pas d'avis. Ne sait pas,Chemin pédestre/VTT -> avoir plus de chose comme ça. ,,,,S'il y a un aboutissement et que ça sert à quelque chose ça ne coûte rien.
Je ne sais pas,,Je ne connais pas beaucoup,Le calme et le prix (on paie moins d'impôts),Ne sait pas. C'est peut être le changement de maire. Peut être les gens ont aménagé à St Omer ou Calais,Le prix du terrain,oui,"On n'est pas loin du docteur, dentiste à Liques, et hopital à St Omer","Zumba, gym : salle à Clerques",Il faut aller plus sur Ardres mais on est à 20 minutes,Pas loin du Leclerc de Lumbres et du supermarché de Liques,"Coiffeuse à domicile. Partage de repas, courses et coiffeur pour les personnes",On n'a pas le choix. Je prends la voiture tous les jours pour aller au travail,Non pas du tout,,Je le fais déjà pour,le loisir,Je le fais déjà pour,le loisir,Non pas du tout,Je ne connais pas et pas possible dans mon domaine,Pas d'avis,Donner de la chance aux jeunes pour qu'ils aient du travail l'été même si c'est que 15 jours,,,,"C'est bien, au moins les gens disent ce qu'ils pensent et ce qui ne va pas dans les communes"
un territoire,,"Vaste, beaucoup de commune","Je ne sais pas trop, plutôt des campagnes, pas la ville",Lumbres c'est quand même une petite ville par rapport aux campagnes,ne sait pas,Pas vraiment,Ce qui pourrait être bien c'est l'ouverture d'un centre médical. Pour l'instant ça va. Dans quelques années il n'y aura plus de médecins. En on m'a mis sur la liste d'attente pour un RDV ortho pour mon fils sur Lumbres par rapport aux périmètres,,,,,"Pas le choix, on ne peut pas faire autrement",Non pas du tout,"On est trip loin c'est un peu trop large, pas d'utilité",Je le fais déjà pour,s'aérer,Je le fais déjà pour,"s'aérer, et pour aller chercher les enfants à l'école",Non pas du tout,,"Il en faut une part mais pas trop aussi et le problème c'est qu'on les met tous ensemble et après ça fait des clans/stigmatisation. Et après il faut que ça suive, par raport aux places dans les écoles","On aurait pu regrouper plusieurs écoles des 3 communes : bonninques (école vieille en plus), Audrehem et Clerques. Car ici à Audrehem c'est 1 RPI",,,,C'est bien mais on n'a pas de gros souci par ici
un territoire,,Territoire vaste. Vie à la campagne mais manque de transport. Très beau cadre.,La crise elle joue. Beaucoup moins cher à la campagne. Plus d'avantage qu'une ville / mentalités. Enfants plus solidaires. ,Rumeurs. On parle d'amener des migrants sur Lumbres et les gens ils n'en veulent pas. ,L'aspect financier et on vit tranquilement. Pas de mitoyenneté,oui,"Médecin à 7-8 minutes. Kiné, dentiste, pharmacie",Mes enfants n'ont pas d'autonomie/permis. S'ils veulent faire du sport (n'importe où) il n'y a pas de transports,"Dans les campagnes, on a beaucoup de publicité",Ca va si on a un véhicule. Leclerc de Lumbres à 15 minutes,Aide à domicile,En campagne c'est une obligation et une évidence. Ce n'est pas de la mauvaise volonté les gens n'ont pas le choix,J'accepterais si,"si on me met un bus, je ne prendrais plus la voiture Horaires flexible quand même. 1 passage par village (mairie, école, un point que tout le monde connait)",Je le fais déjà pour,"car on aime bouger. Mais il n'y a pas d'éclairage, mettre en place des pistes cyclables. Toutes les rues ne sont pas encore équipées",Je le fais déjà pour,"on adore la marche, randonnés, chemins de rando",Je le fais déjà pour,"le travail, en interne","Oui car il faut faire un peu de social et non car les logements sont regroupés. Je suis pour les logements sociaux mais non regroupés. Si c'est pour reconstruire des ZVP ce n'est pas la peine -> car ça crée de la discrimination, des étiquettes","Un gros budget pour la jeunesse --> créer des activités, il faut faire de la sociabilisation. Créer des points de rencontre",,,,"C'est une bonne chose, c'est normal, il était temps"
un territoire,,"Secteur qui me plait, les gens sont sympas",Les taxes qui ne sont pas chères. Le fait que l'on soit réunis sur le secteur de Lumbres rend tout moins cher,Beaucoup de logements sociaux à Lumbres qui attirent une certaine population et fait fuir les autres. Taxes moins chères à la campagne. ,,Pas vraiment,"Il n'y a pas grand chose. On a peur d'être malade : médecin, dentiste sur Ardres",Sur Ardres,,"Il n'y a rien, il n'y a pas de café etc, et Lumbres est à 15 KM donc on n'y va pas souvent","On fait tout sur Ardres, on n'est sur le pays de Lumbres que pour vivre. L'opportunité de bâtir était ici","La voiture est indispensable à la camapgne, mais je profite des transports du travail pour les courses etc (Saint Omer)",Non pas du tout,,Non pas du tout,,Non pas du tout,Trop loin de tout,Non pas du tout,,Trop de social,J'enleverrai du social sur le secteur,,,,Bien mais on ne va pas faire de révolution sur le sujet
Je ne sais pas,,C'est la brousse ! Il n'y a pas de magasins tout prêt,"La campagne, beaucoup de jeunes s'y installent c'est à mi-chemin de leur travail",,"Beaucoup de jeunes aiment vivre à la campagne, la vue est belle",Pas du tout,"Il n'y a rien, on préfère aller à Licques","Il y a des cours de zumba mais c'est à la salle des fêtes, terrain de pétanque détruit","Il n'y a rien dans les villages, il n'y a rien. Qu'à Lumbres",Leclerc Lumbres est loin. On y va rarement,"On va à Licques, il n'y a pas grand chose ici",Ici on est obligé d'avoir une bagnole,J'accepterais si,Il y en avait. Il n'y a même pas un bus une fois par jour pour aller dans les grandes villes. A Calais on prend le bus plusieurs fois par jour ça ne coûte rien.,Je le fais déjà pour,le plaisir,Je le fais déjà pour,le loisir l'état de santé,J'aimerais mais,C'est mieux pour ceux qui travaille et tout le monde a sa voiture,Inquiétude quant aux voisinages. Avant il y avait pas de maisons et maintenant ça construit tout autour de chez nous,Une bouche d'incendie. Il y a de plus en plus de maisons et pas de sécurité. Et une crèche (Clercques),,,,Ca peut être bien mais ce sont surtout des questions sur Lumbres et on ne connait pas bien le territoire
autre,Il n'y a pas longtemps qu'on en fait partie donc je ne sais pas,"Je ne connais pas beaucoup, j'y habite mais n'y travaille pas donc je ne sais pas. On ne va qu'à la piscine de Lumbres","Le paysage peut être. C'est un coin magnifique, vallonné et très vert",Il n'y a plus trop de travail ,Nous on est venus ici juste parce que les terrains sont moins chers. On est venu un peu par défaut,Ne se prononce pas,"Je ne me soigne pas ici, je vais où je connais","On profite bien de la piscine et il y a l'air d'avoir pas mal de choses, c'est actif",Il y en a peut être mais on est moins bien informés,Il y a des commerces ouverts le dimanche donc c'est bien + les supermarchés,,Quand on haibte ici il faut une voiture ou deux. A la campagne il faut une voiture,Non pas du tout,,Non pas du tout,,Je le fais déjà pour,Les balades,Non pas du tout,On ne peut pas ça ne marcherait pas avec le lieu où on travaille,"S'il y a une demande, j'imagine qu'il en faut dans chaque commune",Réduire les distances pour éviter de perdre du temps. Ce qui m'embête c'est de perdre du temps sur les trajets. ,,Flyer,,Je n'ai pas trop compris (le flyer et le jeu de photo). Maintenant c'est mieux !
Je ne sais pas,,Territoire ou tout est loin. On regrette que ce ne soit plus la vallée de l'Aa. Il n'y a pas de commerçants à proximité,"Le calme, la tranquilité et les nouvelles constructions. Tout le monde travaulle mais il faut des voitures pour partir travailler","Le manque de travail, la cimenterie",Beaucoup de terrains à vendre et de constructions,Pas du tout,"Nous allons sur Licques, Lumbres est trop éloignés, on n'est pas content d'être ralliés à Lumbres. Les médecins il faut deux semaines pour avoir un RDV",,"Il faut toujours bouger, ce n'est pas satisfaisant. Sans voiture on ne peut rien faire",On va à Licques qui est plus proche,"Association Amb dont on est satisfaits (soins infirmiers, ménagers...) sinon le reste non. ","C'est normal, il faut, il n'y a pas d'autres moyens",Non pas du tout,,Non pas du tout,,Non pas du tout,,Je le fais déjà pour,Les balades avec la famille,Ici les ménages ont leurs maisons et du travail donc il n'y en a pas besoin,"Moins d'impôts, plus de retraite, surtout dans le domaine agricole. ",,,,Si ça peut apporter quelque chose
un territoire,,"C'est de grands espaces verts, agréables. Beaucoup de jeunes qui s'installent, qui bâtissent","La possibilité de construire. On peut avoir de belles maisons avec des terrains agréables, au milieu de nul part tout en étant proche de la ville, de la mer ... on a la tranquilité mais tout à porté de nous",Lumbres c'est un peu mort. Ca n'a pas de charme même les gens essayent de mettre en place des choses.,"La tranquilité, les terrains",Pas vraiment,"Depuis Clercques, on va surtout à Licques","Il y a un peu tout quand même. Foot, hiphop, promenade...",,,,C'est n'est pas étonnant,Non pas du tout,je ne pense pas que ça corresponde à la vie de village,Je le fais déjà pour,me balader,Je le fais déjà pour,pareil,J'accepterais si,il y avait un système qui permettait de voir avec les voisins,"S'il y a des besoins, ça crée de la mixité, de la vie dans le village. Peut être que ça peut attirer des gens sur le territoire",Que ce territoire ait une identité. Je trouve que c'est beau et qu'il pourrait y avoir beaucoup de choses développées autour du tourisme vert. ,,,,C'est bien de demander notre avis
autre,,"Beaucoup d'activités, piscine, rando, randorail","Le nouvelle piscine, plus de travail, le sport pour les enfants.","Sûrement pour le travail, rien à faire à part les magasins",,Pas du tout,Préfère aller plus loin (Boulogne),"Pour les enfants, il y a beaucoup à faire : rando, muscu, le judo, la gym",Nouvelle médiathèque à Lumbres,Grande surface,Pas mal par ici,"Pas surprise, obligé d'avoir une voiture pour accompagner les enfants aux activités etc. ",J'accepterais si,S'il y avait des bus (pas cher) qui allaient plus dans les villages (pas que St Omer),Je le fais déjà pour,Le travail en été et les balades,Je le fais déjà pour,,J'accepterais si,"Pas cher, surveillé",Il y en a déjà sur Lumbres,"Il manque des petites brasseries, des friteries...",,autre,"Par le travail, piscine",C'est bien s'il y a du changement réel
autre,,"Territoire qui est de moins en moins bien fréquenté, beaucoup de personnes qui ne travaillent pas, beaucoup profitent du RSA",Pas le travail,"La fréquentation, tout a beaucoup changé, augmentation des impôts locaux. Rien à faire",,Pas du tout,Vous préférez aller voir les médecins plus loin,,,"Pas grand chose au centre ville de Lumbres, petits commerces",,"Sans voiture, rien àn faire",J'accepterais si,Les horaires étaient compatibles,Je le fais déjà pour,Les balades,Je le fais déjà pour,les balades,Je le fais déjà pour,le boulot,Il y en a déjà beaucoup,Arrêter d'aider ceux qui n'en ont pas besoin. Plus de suivi dans les aides,,,,C'est bien de donner son avis
un territoire,,Vallonné,Proximité des grandes villes et rocade bien desservie,,"La campagne, le calme",oui,,,,,,Normal pour la campagne,Non pas du tout,"pas possible pour les courses, les enfants, le sport... Il en faudrait trop",Je le fais déjà pour,"Le loisir, pas possible pour les courses",J'aimerais mais,Il n'y a rien aux alentours (une demie heure minimum),Je le fais déjà pour,Le sport,Il y en a suffisament. Pas pour l'assistanat,"Rien, les territoire est plaisant et calme",,,,Bien de recueillir les avis des gens pour faire bouger les choses
